Who was the first President of the United States, George Washington, George Washington, John Adams, Thomas Jefferson, James Madison, History-Year11

In what year did World War II begin, 1939, 1939, 1914, 1941, 1936, History-Year11

Which empire built the Colosseum, Roman Empire, Roman Empire, Greek Empire, Persian Empire, Byzantine Empire, History-Year11

Who was the leader of the Soviet Union during World War II, Joseph Stalin, Joseph Stalin, Vladimir Lenin, Nikita Khrushchev, Leon Trotsky, History-Year11

What was the ship on which the Pilgrims sailed to America, Mayflower, Mayflower, Santa Maria, Endeavour, Discovery, History-Year11

Which ancient civilization built the pyramids, Ancient Egypt, Ancient Egypt, Ancient Greece, Mesopotamia, Ancient China, History-Year11

Who was the first female Prime Minister of the United Kingdom, Margaret Thatcher, Margaret Thatcher, Theresa May, Indira Gandhi, Angela Merkel, History-Year11

What event started the French Revolution, Storming of the Bastille, Storming of the Bastille, Reign of Terror, Napoleonic Wars, Estates-General meeting, History-Year11

Which war was fought between the North and South regions of the United States, American Civil War, American Civil War, Revolutionary War, War of 1812, Mexican-American War, History-Year11

Who was the leader of Nazi Germany, Adolf Hitler, Adolf Hitler, Himmler, Goebbels, Mussolini, History-Year11

In which ancient city was democracy first developed, Athens, Athens, Sparta, Rome, Babylon, History-Year11

What was the name of the trade route connecting China to Europe, Silk Road, Silk Road, Spice Route, Royal Road, Amber Road, History-Year11

Who discovered penicillin, Alexander Fleming, Alexander Fleming, Marie Curie, Louis Pasteur, Robert Koch, History-Year11

What was the global conflict between the US and USSR known as, Cold War, Cold War, World War I, Korean War, Vietnam War, History-Year11

Which empire was ruled by Genghis Khan, Mongol Empire, Mongol Empire, Ottoman Empire, Roman Empire, Persian Empire, History-Year11

What document declared American independence from Britain, Declaration of Independence, Declaration of Independence, Constitution, Bill of Rights, Articles of Confederation, History-Year11

Which civilization invented the wheel, Mesopotamians, Mesopotamians, Egyptians, Greeks, Romans, History-Year11

What ancient wonder was located in Babylon, Hanging Gardens, Hanging Gardens, Colossus of Rhodes, Great Pyramid, Lighthouse of Alexandria, History-Year11

Who was the famous queen of Ancient Egypt known for her alliances with Rome, Cleopatra, Cleopatra, Nefertiti, Hatshepsut, Artemisia, History-Year11

Which war ended with the Treaty of Versailles, World War I, World War I, World War II, Franco-Prussian War, Crimean War, History-Year11
